onset	duration	sample	trial_type	response_time	stim_file	value
0.9828638778	n/a	n/a	STATUS	n/a	n/a	65535
2.4452665549	n/a	n/a	STATUS	n/a	n/a	65289
3.4452667828	n/a	n/a	STATUS	n/a	n/a	65289
4.4452670108	n/a	n/a	STATUS	n/a	n/a	65289
5.4452672388	n/a	n/a	STATUS	n/a	n/a	65289
6.4452674667	n/a	n/a	STATUS	n/a	n/a	65289
7.4452676947	n/a	n/a	STATUS	n/a	n/a	65289
8.4452679226	n/a	n/a	STATUS	n/a	n/a	65289
9.4452681506	n/a	n/a	STATUS	n/a	n/a	65289
10.4452683785	n/a	n/a	STATUS	n/a	n/a	65289
11.4452686065	n/a	n/a	STATUS	n/a	n/a	65289
12.4452688344	n/a	n/a	STATUS	n/a	n/a	65289
13.4452690624	n/a	n/a	STATUS	n/a	n/a	65289
14.4452692904	n/a	n/a	STATUS	n/a	n/a	65289
15.4452695183	n/a	n/a	STATUS	n/a	n/a	65289
16.4452697463	n/a	n/a	STATUS	n/a	n/a	65289
17.4452699742	n/a	n/a	STATUS	n/a	n/a	65289
18.4452702022	n/a	n/a	STATUS	n/a	n/a	65289
19.4452704301	n/a	n/a	STATUS	n/a	n/a	65289
20.4452706581	n/a	n/a	STATUS	n/a	n/a	65289
21.4452708861	n/a	n/a	STATUS	n/a	n/a	65289
22.4452711140	n/a	n/a	STATUS	n/a	n/a	65289
23.4452713420	n/a	n/a	STATUS	n/a	n/a	65289
24.4452715699	n/a	n/a	STATUS	n/a	n/a	65289
25.4452717979	n/a	n/a	STATUS	n/a	n/a	65289
26.4452720258	n/a	n/a	STATUS	n/a	n/a	65289
27.4452722538	n/a	n/a	STATUS	n/a	n/a	65289
28.4447842004	n/a	n/a	STATUS	n/a	n/a	65289
29.4452727097	n/a	n/a	STATUS	n/a	n/a	65289
30.4447846563	n/a	n/a	STATUS	n/a	n/a	65289
31.4447848842	n/a	n/a	STATUS	n/a	n/a	65289
32.4447851122	n/a	n/a	STATUS	n/a	n/a	65289
33.4447853402	n/a	n/a	STATUS	n/a	n/a	65289
34.4447855681	n/a	n/a	STATUS	n/a	n/a	65289
35.4447857961	n/a	n/a	STATUS	n/a	n/a	65289
36.4447860240	n/a	n/a	STATUS	n/a	n/a	65289
37.4447862520	n/a	n/a	STATUS	n/a	n/a	65289
38.4447864799	n/a	n/a	STATUS	n/a	n/a	65289
